Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / India,Price / India,Compare At Price / India,Included / International,Price / International,Compare At Price / International,Status
jacky-shots,Jacky Shots - Guilty  Free Snacking Made With 100% Real Jackfruit From Panruti (Limited Edition) - The Divine Foods,"<p><strong>WHY DIVINE JACKY SHOTS? </strong>Jackfruit is the<strong> </strong><span>official fruit of Tamil Nadu. Panruti in the Cuddalore district of Tamil Nadu is said to be the hub of Jackfruits as it holds a unique taste. Although jackfruits are grown throughout Tamil Nadu, there is a dedicated market for them in Panruti. </span></p>
<p><span><strong>NUTRIENT RICH SNACK? </strong>The Divine Foods Jacky shots are a healthy pack of chips that can be one of the healthiest and easiest to go options for anyone. These chips are rich in Fiber, Vitamin C, and other essential nutrients. </span></p>
<p><span><strong>WHY IS DIVINE FOODS JACKY SHOTS SPECIAL? </strong>The Divine Foods Jacky shots are Gluten-free, healthy, and vegan. Coconut oil is used with no added color or preservatives.</span></p>
<p><span><strong>WHY IS IT DIFFERENT FROM OTHERS? </strong>The Divine Foods Jacky shots are 100% real fruit snacks and have less oil compared to other chips.</span></p>
<p><span><strong>PACKAGE CONTENT: </strong>90 g of Jacky shots with natural ingredients and vegan.</span></p>",The Divine Foods India,"",Jackfruit Powder,divine_foods,FALSE,Size,Pack Of 1,"",,"",,TDFJS-1,90,shopify,100,deny,manual,477.00,,TRUE,TRUE,"",https://cdn.shopify.com/s/files/1/0600/8851/6813/files/jsmain.png?v=1716189260,1,Jacky Shots - Guilty  Free Snacking Made With 100% Real Jackfruit From Panruti (Limited Edition),FALSE,Jacky Shots - Guilty  Free Snacking Made With 100% Real Jackfruit From Panruti (Limited Edition),WHY DIVINE JACKY SHOTS? Jackfruit is the official fruit of Tamil Nadu. Panruti in the Cuddalore district of Tamil Nadu is said to be the hub of Jackfruits as ...,"","","",TDFJS-1,new,TRUE,https://cdn.shopify.com/s/files/1/0600/8851/6813/files/jsmain.png?v=1716189260,g,"",225.00,TRUE,477.00,225.00,TRUE,477.00,225.00,active
jacky-shots,"","","","","","","","","","","","","","","","","","","","","","","","",https://cdn.shopify.com/s/files/1/0600/8851/6813/files/JACKYSHOTS-01_93af181a-c258-4a8d-b453-beb654291128.jpg?v=1716189299,2,Jacky Shots - Guilty  Free Snacking Made With 100% Real Jackfruit From Panruti (Limited Edition),"","","","","","","","","","","","","","","","","","","",""
jacky-shots,"","","","","","","","","","","","","","","","","","","","","","","","",https://cdn.shopify.com/s/files/1/0600/8851/6813/files/JACKYSHOTS-04.jpg?v=1716443480,3,Jacky Shots - Guilty  Free Snacking Made With 100% Real Jackfruit From Panruti (Limited Edition),"","","","","","","","","","","","","","","","","","","",""
jacky-shots,"","","","","","","","","","","","","","","","","","","","","","","","",https://cdn.shopify.com/s/files/1/0600/8851/6813/files/JACKYSHOTS-02.jpg?v=1716443480,4,Jacky Shots - Guilty  Free Snacking Made With 100% Real Jackfruit From Panruti (Limited Edition),"","","","","","","","","","","","","","","","","","","",""
jacky-shots,"","","","","","","","","","","","","","","","","","","","","","","","",https://cdn.shopify.com/s/files/1/0600/8851/6813/files/jackynutri.png?v=1716189299,5,Jacky Shots - Guilty  Free Snacking Made With 100% Real Jackfruit From Panruti (Limited Edition),"","","","","","","","","","","","","","","","","","","",""
jacky-shots,"","","","","","","","","","","","","","","","","","","","","","","","",https://cdn.shopify.com/s/files/1/0600/8851/6813/files/jackyings.png?v=1716189299,6,Jacky Shots - Guilty  Free Snacking Made With 100% Real Jackfruit From Panruti (Limited Edition),"","","","","","","","","","","","","","","","","","","",""
jacky-shots,"","","","","","","","","","","","","","","","","","","","","","","","",https://cdn.shopify.com/s/files/1/0600/8851/6813/files/jackywhy.png?v=1716189299,7,Jacky Shots - Guilty  Free Snacking Made With 100% Real Jackfruit From Panruti (Limited Edition),"","","","","","","","","","","","","","","","","","","",""
jacky-shots,"","","","","","","","","","","","","","","","","","","","","","","","",https://cdn.shopify.com/s/files/1/0600/8851/6813/files/JACKYSHOTS-01.jpg?v=1716189299,8,Jacky Shots - Guilty  Free Snacking Made With 100% Real Jackfruit From Panruti (Limited Edition),"","","","","","","","","","","","","","","","","","","",""
jacky-shots,"","","","","","","","","","","","","","","","","","","","","","","","",https://cdn.shopify.com/s/files/1/0600/8851/6813/files/jackyback.png?v=1716189299,9,Jacky Shots - Guilty  Free Snacking Made With 100% Real Jackfruit From Panruti (Limited Edition),"","","","","","","","","","","","","","","","","","","",""
jacky-shots,"","","","","","","","","","","","","","","","","","","","","","","","",https://cdn.shopify.com/s/files/1/0600/8851/6813/files/JACKYSHOTS-03_f65556a7-adfa-4cb8-8392-f4c306d5bc00.jpg?v=1716189299,10,Jacky Shots - Guilty  Free Snacking Made With 100% Real Jackfruit From Panruti (Limited Edition),"","","","","","","","","","","","","","","","","","","",""
